DATE,TV,OOH,Print,Facebook,Search,Non-media Drivers,Baseline + Non-media,Fitted,Actual
2015-11-23,8789.678096056874,0.0,95738.555134938,28046.25892253964,0.0,792134.6038163506,2446027.1295017446,2578601.6216552793,2754371.66666667
2015-11-30,38322.2774646185,0.0,22224.198108223005,18606.39289943631,1566.518519022357,723711.1454611296,2377603.6711465237,2458323.058137824,2584276.66666667
2015-12-07,11755.080429284082,25890.283934838233,9139.638774439783,25290.769586981463,1557.795834081501,845777.174398712,2499669.700084106,2573303.2686437313,2547386.66666667
2015-12-14,166770.3530888294,4785.981030481344,101975.40988056238,23129.069996095543,1585.1928053394015,791483.6225558872,2445376.1482412815,2743622.1550425896,2875220.0
2015-12-21,76949.79580967948,58737.53124377957,31008.017607892856,13098.020117614866,1547.5532172221303,581294.3351068908,2235186.860792285,2416527.778788474,2215953.33333333
2015-12-28,100382.17497700636,19543.91570047069,109053.55250854736,26456.48693289061,1555.9952876986335,898606.4527047533,2552498.9783901474,2809491.1037967615,2569921.66666667
2016-01-04,38097.77599516231,54853.756527593854,51150.111731940815,24839.578257326786,1552.1003157518112,439808.29689202487,2093700.822577419,2264194.1454051947,2171506.66666667
2016-01-11,15227.381449428218,16674.50310669503,106093.16206623304,25397.946539363504,1585.6905481728522,586112.5076808672,2240005.0333662615,2404983.7170761544,2464131.66666667
2016-01-18,4405.375622768957,2740.6502221300857,40558.72815343331,24708.828605442934,1506.7171982383293,356888.7167903934,2010781.2424757876,2084701.5422778013,2012520.0
2016-01-25,1241.434853783615,385.7894624979992,93403.30542000044,23493.75582797326,1501.923118800772,-805.5828325154529,1653086.9428528787,1773113.1515359348,1738911.66666667
2016-02-01,9004.361657687938,4519.836556006631,19917.717149411164,5107.137438304164,1475.1159377827473,-5762.239322254518,1648130.2863631397,1688154.4551023324,1772306.66666667
2016-02-08,2565.7185915827354,648.118558027165,66825.6527365495,23947.435206276026,1468.7145536230491,114398.3068383451,1768290.8325237392,1863746.4721697979,1809058.33333333
2016-02-15,114178.10082767082,89.30741497636943,47863.26999949522,18340.99265966158,648.2453911156222,99211.70402780228,1753104.2297131964,1934224.1460061164,1952740.0
2016-02-22,43667.738966207064,12.237135803718074,3945.462446576894,2740.8691556481403,185.30441320172307,-144463.1972049012,1509429.328480493,1559980.9405979307,1507805.0
2016-02-29,99472.12608127056,1.675469334169176,204.34457238338362,21013.205347342868,1410.865314644106,-287031.46144674625,1366861.064238648,1488963.2810236234,1510391.66666667
2016-03-07,36306.13854719408,0.22937560271041707,100784.55890037653,3747.6547672026954,1478.199716507931,-151288.14238420525,1502604.383301189,1644921.164608073,1588840.0
2016-03-14,43108.22847643388,3929.4348043146365,28933.83066115955,297.0778962551599,1436.6286195423413,-168919.4462218137,1484973.0794635804,1562678.2799212858,1605990.0
2016-03-21,13390.379228290762,559.9883455822901,1900.4775443909632,21.1961777595273,1425.4792376389703,-336542.80468552565,1317349.7209998686,1334647.2415335309,1356010.0
2016-03-28,3856.482531631472,9758.946465034704,97130.97090108537,27336.26583965641,1450.6537597321367,310510.8214841365,1964403.3471695306,2103936.6666666707,2103936.66666667
2016-04-04,1085.328535394911,1480.8016320197976,23804.770656456716,9243.874308674622,1378.3703560244765,-551013.3519362166,1102879.1737491777,1139872.319237748,1120835.0
2016-04-11,303.43036055510976,10772.31265887997,1481.995017932563,890.1898656156591,1368.5330262210334,-541698.1346710124,1112194.3910143818,1127010.851943586,1141140.0
2016-04-18,3075.388955505712,1653.1735042670502,75.18829595130433,20752.98579235635,1356.4076546050753,-574014.7918726072,1079877.733812787,1106790.8780154726,1166880.0
2016-04-25,863.8900043235511,230.13159417203678,3.7706633414500046,3632.8122235154174,1357.764974950121,-800629.7873111741,853262.7383742201,859351.1078345227,888806.666666667
2016-05-02,241.39461498801938,31.577832258971167,95375.02942789401,286.91410459807304,1264.1137837711017,-858537.206413955,795355.3192714392,892554.3490349494,898873.333333333
2016-05-09,67.35261937309429,5246.178573407282,21838.6614405811,20.46497873058531,1290.810318186078,-794615.2239821027,859277.3017032915,887740.7696335695,889373.333333334
2016-05-16,18.784602829335334,758.0506823038095,1332.9312437088392,24101.967817071494,509.6088139950827,234761.1311546958,1888653.65684009,1915374.9999999984,1915375.0
2016-05-23,5.2384101316419995,25670.908350373764,67.54214745186627,5536.469927012292,137.4888154390818,-687133.8085991502,966758.717086244,998176.3647366526,1006845.0
2016-05-30,1.4607739684752394,4731.384380187556,3.3869997840642725,465.6806821703944,1261.0412151276291,-808766.8706965181,845125.6549888761,851588.6090401141,869198.333333334
2016-06-06,0.40734524585919685,679.963019084225,0.16975681416421742,33.38882958872912,1243.585432076457,-935927.6599182637,717964.8657671305,719922.3801499397,727250.0
2016-06-13,0.11359028721538385,93.72552049641638,0.008508006636744279,2.3642016411824316,1307.1956694170108,-908641.8691839394,745250.6565014548,746654.0639913033,753730.0
2016-06-20,7217.149154068645,24266.757559108177,0.00042641046070765313,21410.896307367882,1328.2946825876688,-756831.8756837159,897060.6500016783,951283.748131221,999196.666666667
2016-06-27,2047.5957886997812,4389.440590479902,2.1371147993814167e-05,3931.774343710671,1308.7318176375973,-813691.0775648403,840201.4481205539,851878.9906824528,845843.333333333
2016-07-04,4857.798197472678,628.5602985273301,68938.82786818115,313.53052168528905,1347.5119064659195,-615791.2388320809,1038101.2868533133,1114187.5156456456,1126016.66666667
2016-07-11,1370.4139837493544,86.59530547715227,7935.64866233301,22.380718098967186,1372.6595886998105,-518618.04740656377,1135274.4782788304,1146062.1765371885,1140978.33333333
2016-07-18,739.1665054824551,61849.862924175046,66476.24291497652,23873.09321884796,1296.8107048563168,-513297.2095123604,1140595.3161730338,1294830.4924413722,1242656.66666667
2016-07-25,206.48221810120577,22267.28718528853,7313.401785202591,5369.314147152955,1376.1253603035766,-365547.1221892239,1288345.4034961704,1324878.014192219,1293483.33333333
2016-08-01,19395.986893895537,44436.77533151143,389.89151613009494,26154.57822730882,1421.1276288030826,-329120.0065594739,1324772.5191259203,1416570.8787235692,1484843.33333333
2016-08-08,5669.550400010033,10966.272963545682,13548.68890483164,7429.936198449168,1450.45932565839,-162403.58327473025,1491488.942410664,1530553.850203159,1485698.33333333
2016-08-15,34064.86846229407,1686.6142229315979,763.7964110452291,13744.974512668958,632.5316002017623,-217231.76036721154,1436660.7653181828,1487553.5505273242,1556608.33333333
2016-08-22,10334.331853815029,234.86676633553884,97706.95255487262,10760.456520456168,179.6005674765137,-325197.89039518486,1328694.6352902092,1447910.8435531652,1391206.66666667
2016-08-29,31256.801109645643,34151.36344350386,24511.342878013926,1101.536903804477,1490.4582560922827,181727.89228845362,1835620.4179738478,1928131.920564908,2018783.33333333
2016-09-05,42871.610295021725,30215.24900828502,51280.61522700758,1145.0806540420936,1510.7565730334347,310451.3253108267,1964343.850996221,2091367.1627536106,2170721.66666667
2016-09-12,13308.558393673418,45796.0549676845,4431.138260351596,83.75717386486832,1523.9166013605413,554888.9708143745,2208781.4964997685,2273924.9218967035,2247670.0
2016-09-19,3832.1495289924555,20354.22004340175,106857.4148803768,25448.833682538556,1529.4313953322885,353328.5152932916,2007221.0409786857,2165243.090509327,2192026.66666667
2016-09-26,1078.4176771995656,43518.74646192128,42899.058011270885,6685.412604081995,1496.5417424106308,205048.39572092524,1858940.9214063194,1954619.0979032037,1895213.33333333
2016-10-03,236230.35506514716,42103.917293902115,90134.40828091191,23096.20171074488,1526.2213329395909,222933.88865383924,1876826.4143392334,2269917.518022879,2232910.0
2016-10-10,149862.28867422842,9970.426028446986,93903.55511296654,24500.50319055422,1568.3352041654819,665641.2286675532,2319533.754352947,2599338.862563309,2406035.0
2016-10-17,221632.88379717522,6325.746001168778,20379.64998253873,26692.500824396862,1553.6118464386468,366222.306057304,2020114.8317426983,2296699.224194417,2252445.0
2016-10-24,130333.39378247676,38153.33523677511,88521.80505693724,27267.175233582726,1575.0804142198958,863059.4102038987,2516951.935889293,2802802.725613285,2663125.0
2016-10-31,229251.60027531264,8455.901659236986,16132.561736583923,27680.576706389824,1618.8762201959037,1040954.5841269329,2694847.109812327,2977986.6264100466,2974771.66666667
2016-11-07,140155.94594662692,35073.94964418698,93719.89787087629,28033.30959620998,1583.0775399912093,1008678.3453290923,2662570.8710144865,2961137.0516123776,2826128.33333333
