DATE,revenue,tv_S_adstock_norm_sat,ooh_S_adstock_norm_sat,print_S_adstock_norm_sat,facebook_S_adstock_norm_sat,search_S_adstock_norm_sat,competitor_sales_norm,is_holiday,is_christmas,is_new_year,is_easter_monday,is_whit_monday,is_labor_day,is_week_25,is_week_57,is_week_73,is_week_75,is_week_109,is_week_123,event1,event2,August,December,February,January,July,June,March,May,November,October,September
2015-11-23,2754371.66666667,0.028916190988806646,0.0,0.8254673285671094,0.866602780118483,0.0,1.248428338838901,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False
2015-11-30,2584276.66666667,0.12607222724004724,0.0,0.19161924280227896,0.5749198800154348,0.6777933479195096,1.1405908778310425,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False
2015-12-07,2547386.66666667,0.03867174054240384,0.3005730374043509,0.07880287301778979,0.7814607750697284,0.6740192605039331,1.3329706690950756,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False
2015-12-14,2875220.0,0.5486393618158393,0.05556280722575135,0.8792421094615505,0.7146663095256197,0.6858732441282926,1.2474023724820467,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False
2015-12-21,2215953.33333333,0.25314863273326915,0.6819128836134217,0.26735420670254495,0.40471638942371396,0.6695875365962565,0.7566671249031982,1,1,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False
2015-12-28,2569921.66666667,0.33023622842446104,0.22689492782890808,0.9402705580119248,0.817480334597696,0.6732402091578374,0.7524455098092362,1,0,1,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-01-04,2171506.66666667,0.1253336646559436,0.6368242331383548,0.441021342214365,0.767519391239393,0.6715549523007804,0.693151313995334,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-01-11,2464131.66666667,0.05009488008993275,0.19358250603206165,0.9147457776714597,0.7847724411694897,0.6860886049921388,0.9237312204408765,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-01-18,2012520.0,0.014492758607686314,0.03181755610721913,0.34970138134742274,0.763479351099458,0.6519188134457577,0.5624675221943399,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-01-25,1738911.66666667,0.004084059386460635,0.004478819577006724,0.8053325736503502,0.725934755582825,0.6498445352851638,-0.0012696231581717362,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-02-01,1772306.66666667,0.029622454722522413,0.05247300514854794,0.1717325349573794,0.15780569931644947,0.6382457391331523,-0.027954400048400645,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-02-08,1809058.33333333,0.00844067416428157,0.007524327043869101,0.5761774132317397,0.7399530177548125,0.6354760204555663,0.1614222921381604,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-02-15,1952740.0,0.3756219208702616,0.0010368136962012663,0.4126818664359737,0.5667192645155882,0.2804795529591686,0.13748774209069434,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-02-22,1507805.0,0.14365767053092157,0.00014206692699514378,0.03401816897223217,0.08469025536652917,0.08017658079563605,-0.24655134760069086,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-02-29,1510391.66666667,0.3272423590937907,1.9451347390262648e-05,0.001761879193129236,0.6492881001884063,0.6104461029116588,-0.4712432881384338,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False
